"Quantile","Year","Season","Northing.Est","Northing.SD","Easting.Est","Easting.SD","strata"
"0.5",1999,"Fall",4688.36690642342,43.8167429158923,456.350899454178,24.4582097570812,"ALL"
"0.5",2000,"Spring",4641.02150412456,24.2870504006558,444.052695110103,18.3638903325335,"ALL"
"0.5",2000,"Fall",4725.87645907953,53.5554793047945,515.770415123694,37.4251998366933,"ALL"
"0.5",2001,"Spring",4630.79582106445,26.4952063285498,434.260087488367,23.0573946385053,"ALL"
"0.5",2001,"Fall",4787.11039301346,49.2803633039936,481.56994139415,28.0309489445592,"ALL"
"0.5",2002,"Spring",4690.21943922781,32.4552267715834,434.058164411444,22.7014985513517,"ALL"
"0.5",2002,"Fall",4665.64957430001,56.6131991984032,464.729773336868,43.7784015945961,"ALL"
"0.5",2003,"Spring",4601.23759607859,6.33335419927952,408.284031681429,8.17148946446383,"ALL"
"0.5",2003,"Fall",4674.2548374579,25.4695103609125,505.808774912053,23.7231892320805,"ALL"
"0.5",2004,"Spring",4606.32783015862,22.3814321506474,449.715404230448,22.1565917333064,"ALL"
"0.5",2004,"Fall",4680.2548374579,15.7718105913555,481.56994139415,31.943851432308,"ALL"
"0.5",2005,"Spring",4598.66283745789,12.3063595290065,417.972266975546,8.03924611978097,"ALL"
"0.5",2005,"Fall",4687.75056395362,21.728614757353,433.822398209141,21.1031364229455,"ALL"
"0.5",2006,"Spring",4639.13557140286,14.4981568533332,414.202299978847,8.81171054818893,"ALL"
"0.5",2006,"Fall",4679.5548374579,26.0168695745158,459.434933642212,28.1221216556755,"ALL"
"0.5",2007,"Spring",4650.30245650552,20.4502285021518,423.9263210296,12.3878908742296,"ALL"
"0.5",2007,"Fall",4672.3601006158,26.9896301886142,468.908303011582,28.8938068081568,"ALL"
"0.5",2008,"Spring",4629.13483745789,13.361688873353,423.9263210296,6.28088570841985,"ALL"
"0.5",2008,"Fall",4657.63203044036,21.3931484383151,452.155095258375,10.2318213633044,"ALL"
"0.5",2009,"Spring",4603.70521913728,13.1656203896976,414.854151033518,10.0559560127503,"ALL"
"0.5",2009,"Fall",4630.79582106445,34.3041318247353,461.083576499355,19.7172882006233,"ALL"
"0.5",2010,"Spring",4585.12683745789,11.8573004002924,436.808774912054,12.1692229619233,"ALL"
"0.5",2010,"Fall",4644.43369924651,22.0427411812104,469.086759729169,39.844921656526,"ALL"
"0.5",2011,"Spring",4613.01754932231,12.5791006992466,424.466206369486,22.4701268254117,"ALL"
"0.5",2011,"Fall",4638.84805779688,15.3038919115103,459.434933642212,16.4931153568373,"ALL"
"0.5",2012,"Spring",4680.8148374579,25.3216780545246,454.082622962601,31.9059621723416,"ALL"
